gpu_type,model_name,is_prefix_cached,sweep_type,sweep_value,num_groups,prompts_per_group,system_prompt_len,question_len,output_len,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,output_throughput,median_ttft_ms,median_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
gpu_type,model_name,is_prefix_cached,sweep_type,sweep_value,num_groups,prompts_per_group,system_prompt_len,question_len,output_len,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,output_throughput,median_ttft_ms,median_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.0,64,16,0,2176,256,272.75096475199825,1024,2346450,262144,261884,961.1111742110876,127858.60178849907,100.21755200068583,164668.95341127642,180677.02687850033
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.1,64,16,218,1958,256,263.2857518919991,1024,2347247,262144,261489,995.6634497545183,129471.46524799973,103.14702500181738,163118.09782332915,190683.2395924994
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.2,64,16,435,1741,256,243.24362260199996,1024,2347148,262144,261834,1077.7014303430483,108127.51262399979,100.7019485005003,153959.12728419428,151530.86835850083
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.3,64,16,653,1523,256,283.5587176759982,1024,2347717,262144,261999,924.4787187235512,152595.1626064998,95.74062800311367,198838.61398797462,193226.79978149972
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.4,64,16,870,1306,256,1075.5460001329993,1024,2347084,262144,262137,243.731090969223,948773.6905589991,90.38444699945103,997250.1586821153,972418.604595001
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.5,64,16,1088,1088,256,251.10188782399928,1024,2346699,262144,262095,1043.9746282741621,131186.78905500018,86.24878699993133,177676.30120080564,153767.95871049946
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.6,64,16,1306,870,256,174.35020759599865,1024,2344663,262144,261876,1503.5485395430997,70110.53633400115,81.94674299920734,116240.22847752826,115506.23429900043
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.7,64,16,1523,653,256,160.24591571800192,1024,2347735,262144,261879,1635.8856874787161,66844.41804750168,78.06947849894641,106108.22174950685,102833.53209900088
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.8,64,16,1741,435,256,140.0645845049985,1024,2346571,262144,262135,1871.5937431752768,55432.1475225006,73.41805200121598,91727.70584208885,87050.90509399997
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.9,64,16,1958,218,256,229.38842386399847,1024,2345133,262144,261876,1142.7952447828052,159597.28072099824,69.03870700261905,188735.29924282612,187043.85917450054
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,1.0,64,16,2176,0,256,393.93551677199866,1024,2344864,262144,262144,665.449010914452,328073.43784749904,63.06915800087154,349906.44677283213,349580.4086090011
gpu_type,model_name,is_prefix_cached,sweep_type,sweep_value,num_groups,prompts_per_group,system_prompt_len,question_len,output_len,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,output_throughput,median_ttft_ms,median_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.001,1024,1,2048,128,256,289.78409038399695,1024,2346369,262144,262133,904.618330332177,145802.387786498,100.03341999981785,180821.6018432294,199230.49285949674
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0021,512,2,2048,128,256,214.80167616299877,1024,2346589,262144,262137,1220.4001601974292,94918.79288049677,86.44236299733166,137134.39132244134,132853.02689750097
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0046,204,5,2048,128,256,157.0768675779982,1020,2339449,261120,261110,1662.3708126235588,64911.87809999974,102.1519409987377,107371.62027505983,91957.47551300155
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0098,102,10,2048,128,256,131.6958841020023,1020,2336482,261120,261103,1982.7498921511847,51826.138882501255,93.21818750322564,89542.35961039708,76459.2842524944
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0213,46,22,2048,128,256,104.16124288700667,1012,2317493,259072,258804,2487.220705315886,41137.92131800437,76.13842499995371,69479.33361958596,63598.79435249968
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0459,21,47,2048,128,256,93.54403711399937,987,2254926,252672,252152,2701.102152476871,38916.09473599965,69.45795199862914,61065.56192761898,59148.64637500432
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0992,10,102,2048,128,256,360.04112574499595,1020,2331169,261120,260338,725.2504820378265,308896.7912299995,65.99202800134663,326877.204809601,327524.90755599865
