L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_10-concurrency_with-warmup,random,32,10,True,1000,1000,64.6562,1000,15.4664,13836.3607,494.9252,133.3023,122.2212,42.1529,248.4308,16.376,16.3553,0.4332,17.3963,16.3899,16.0915,2.6695,26.8107,640.9596,631.6996
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_10-concurrency_with-warmup,round_robin,32,10,True,1000,1000,63.8497,1000,15.6618,14011.1379,501.177,128.1067,119.3963,30.4712,207.7878,16.3303,16.2885,0.4022,17.633,16.3459,16.0882,2.3299,25.4941,634.3469,627.4182
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpu_40-concurrency,prefix_aware,32,40,False,1000,4000,76.6653,4000,52.1748,46675.9813,1669.595,135.7834,71.2326,156.7408,690.3497,20.1288,19.6807,3.496,32.3692,20.1749,16.2959,26.4166,89.8862,759.7773,712.8103
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpu_40-concurrency,random,32,40,False,1000,4000,83.7428,4000,47.7653,42731.1735,1528.4897,151.4196,81.9583,168.1569,728.5971,21.9157,20.678,5.2959,41.4876,21.9654,16.5931,30.9969,131.7953,830.8065,769.241
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpu_40-concurrency,round_robin,32,40,False,1000,4000,81.3325,4000,49.1808,43997.4945,1573.7858,136.3024,63.2933,166.0037,758.4827,21.6396,20.6938,4.3536,36.9192,21.6897,16.6712,28.3917,118.4508,807.13,734.8104
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpu_40-concurrency_with-warmup,prefix_aware,32,40,True,1000,4000,75.5405,4000,52.9518,47371.0162,1694.4564,138.3306,68.4114,155.1091,696.7818,19.7227,19.4508,3.0741,31.1373,19.7578,16.2351,25.9594,82.8934,749.7357,705.6303
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpu_40-concurrency_with-warmup,random,32,40,True,1000,4000,75.477,4000,52.9963,47410.8191,1695.8801,123.2196,67.1623,139.5985,687.7236,20.1794,19.9332,3.1589,30.7221,20.2248,16.5474,24.4266,91.2542,748.7795,716.4816
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpu_40-concurrency_with-warmup,round_robin,32,40,True,1000,4000,77.9234,4000,51.3325,45922.3884,1642.6391,133.6008,59.1316,147.9543,637.5528,20.5839,20.539,2.8877,30.4097,20.6288,16.6156,24.9964,84.1014,771.7026,726.7645
gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency,prefix_aware,32,1,False,100,100,47.8229,100,2.091,1975.1825,66.9135,37.6986,31.841,14.1045,89.0079,14.1897,14.152,0.0929,14.4537,14.1972,14.151,0.4647,14.7974,477.58,470.5775
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency,random,32,1,False,100,100,48.0295,100,2.0821,1966.6865,66.6257,38.1242,32.2376,15.0951,94.5221,14.2422,14.2115,0.09,14.4783,14.2494,14.1969,0.4961,14.9154,479.6323,472.6021
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency,round_robin,32,1,False,100,100,48.1595,100,2.0764,1961.3794,66.4459,38.2548,31.5112,15.5603,94.0854,14.2801,14.2469,0.0842,14.5247,14.287,14.242,0.5175,15.0098,480.9387,473.8902
gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency_with-warmup,prefix_aware,32,1,True,100,100,47.5845,100,2.1015,1985.0783,67.2488,32.1845,31.8397,2.7762,41.1285,14.2907,14.2652,0.0698,14.4849,14.2976,14.2554,0.5307,14.9654,475.197,473.7024
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,1-gpu_1-concurrency_with-warmup,random,32,1,True,100,100,47.7369,100,2.0948,1978.743,67.0341,32.3642,31.7992,2.6904,40.0636,14.3339,14.3101,0.0727,14.5311,14.341,14.3133,0.4862,14.9175,476.7159,475.2577
