gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,random,10,200,40,100,False,False,10000,1000,67.7994,1000,14.7494,26246.5176,1504.04,255.6373,231.4097,121.5295,717.2306,24.3709,23.9667,6.9771,43.7183,24.7343,13.8894,31.2891,147.8678,2634.2598,2450.1785
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,random,10,200,40,100,False,False,10000,1000,67.2484,1000,14.8702,26461.5766,1516.3638,253.7808,225.946,126.1206,761.0441,24.1141,23.7731,6.3799,39.1628,24.5601,14.5241,30.8672,147.6127,2618.2719,2472.22
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,random,10,200,40,100,False,False,10000,1000,67.7912,1000,14.7512,26249.7075,1504.2228,263.726,235.4366,148.2053,987.6244,24.2542,23.6177,7.3372,44.3797,24.5638,15.289,30.6455,145.7166,2623.9605,2519.9834
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,random,10,200,40,100,False,False,10000,1000,67.9864,1000,14.7088,26174.3278,1499.9032,256.3588,229.3616,125.3417,770.9818,24.5382,23.6624,7.2539,50.0498,24.7406,14.5538,31.1422,147.8891,2638.4134,2496.337
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,random,10,200,40,100,False,False,10000,1000,68.0464,1000,14.6959,26151.2387,1498.5801,257.9815,230.1482,134.4729,857.5002,24.3651,24.1846,7.1861,49.0788,24.8017,15.3587,31.0509,148.9549,2636.6924,2513.0237

L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,round_robin,10,200,40,100,False,False,10000,1000,65.5595,1000,15.2533,27143.2508,1555.4267,221.4142,201.6271,107.2765,716.082,23.468,24.0333,5.0231,33.8336,24.2485,15.895,28.974,117.0766,2548.9299,2407.9488
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,round_robin,10,200,40,100,False,False,10000,1000,65.5306,1000,15.26,27155.22,1556.1126,227.4084,206.6922,115.2642,781.1755,23.4838,23.9813,5.3946,35.6449,24.1836,16.3823,28.7987,118.0731,2546.5216,2417.6962
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,round_robin,10,200,40,100,False,False,10000,1000,65.7304,1000,15.2137,27072.6773,1551.3825,229.3078,212.314,112.1002,764.1758,23.4034,23.985,5.1805,34.09,24.1257,16.7522,29.0987,115.6922,2549.5247,2438.2016
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,round_robin,10,200,40,100,False,False,10000,1000,64.9166,1000,15.4044,27412.0762,1570.8316,223.6654,205.5596,111.1069,711.4213,23.1858,23.7147,4.9306,33.1152,23.8938,16.9245,28.1861,113.6734,2521.5358,2375.3114
