request_id,client_prefix_start_timestamp,client_prefix_end_timestamp,client_insert_start_timestamp,client_insert_end_timestamp,prefix_match_total_duration,insert_total_duration,total_request_time_duration
1,1744670945.4111981,1744670945.4143443,1744670945.4144151,1744670945.4172359,0.0031461715698242188,0.002820730209350586,0.006037712097167969
2,1744670945.4176614,1744670945.420452,1744670945.4205182,1744670945.4232898,0.002790689468383789,0.002771615982055664,0.005628347396850586
3,1744670945.423737,1744670945.4263098,1744670945.4263823,1744670945.4290361,0.002572774887084961,0.002653837203979492,0.005299091339111328
4,1744670945.4294167,1744670945.432007,1744670945.4320693,1744670945.4345288,0.0025904178619384766,0.0024595260620117188,0.005112171173095703
5,1744670945.4348958,1744670945.4375024,1744670945.4375665,1744670945.4403017,0.002606630325317383,0.002735137939453125,0.005405902862548828
6,1744670945.4406729,1744670945.4432292,1744670945.443293,1744670945.445818,0.002556324005126953,0.002524852752685547,0.005145072937011719
7,1744670945.446252,1744670945.448604,1744670945.448667,1744670945.4513805,0.002351999282836914,0.002713441848754883,0.005128383636474609
8,1744670945.4518132,1744670945.454342,1744670945.4544854,1744670945.4567492,0.002528667449951172,0.002263784408569336,0.0049359798431396484
9,1744670945.4571102,1744670945.459775,1744670945.459838,1744670945.4621444,0.002664804458618164,0.0023064613342285156,0.005034208297729492
10,1744670945.4625008,1744670945.465065,1744670945.4651902,1744670945.4679222,0.0025641918182373047,0.0027320384979248047,0.00542140007019043
11,1744670945.4682655,1744670945.4705274,1744670945.4705892,1744670945.472991,0.0022618770599365234,0.0024018287658691406,0.004725456237792969
12,1744670945.4733381,1744670945.4758518,1744670945.4759896,1744670945.4784517,0.0025136470794677734,0.002462148666381836,0.0051136016845703125
13,1744670945.478795,1744670945.4811783,1744670945.4812422,1744670945.4836342,0.0023832321166992188,0.0023920536041259766,0.004839181900024414
14,1744670945.4839792,1744670945.486286,1744670945.4863465,1744670945.4887571,0.002306699752807617,0.0024106502532958984,0.0047779083251953125
15,1744670945.489118,1744670945.4913843,1744670945.4914691,1744670945.4938104,0.0022661685943603516,0.0023412704467773438,0.0046923160552978516
16,1744670945.49416,1744670945.496424,1744670945.4964871,1744670945.4987626,0.0022640228271484375,0.0022754669189453125,0.004602670669555664
17,1744670945.4991577,1744670945.5014036,1744670945.5014634,1744670945.5038495,0.0022459030151367188,0.0023860931396484375,0.0046918392181396484
18,1744670945.5042863,1744670945.5064209,1744670945.5064912,1744670945.509311,0.002134561538696289,0.0028197765350341797,0.00502467155456543
19,1744670945.5098455,1744670945.5131114,1744670945.513426,1744670945.5159783,0.003265857696533203,0.0025522708892822266,0.006132841110229492
20,1744670945.5163288,1744670945.518675,1744670945.5187356,1744670945.5211942,0.0023462772369384766,0.0024585723876953125,0.004865407943725586
21,1744670945.5215335,1744670945.5238106,1744670945.5238705,1744670945.5262256,0.0022771358489990234,0.0023550987243652344,0.00469207763671875
22,1744670945.526554,1744670945.5286965,1744670945.5287573,1744670945.531074,0.0021424293518066406,0.002316713333129883,0.004519939422607422
23,1744670945.5314205,1744670945.5338125,1744670945.5338721,1744670945.5363228,0.0023920536041259766,0.002450704574584961,0.004902362823486328
24,1744670945.5366547,1744670945.5388193,1744670945.538927,1744670945.5414023,0.002164602279663086,0.002475261688232422,0.004747629165649414
25,1744670945.541812,1744670945.5440614,1744670945.5441363,1744670945.5462484,0.002249479293823242,0.002112150192260742,0.004436492919921875
26,1744670945.5465808,1744670945.5487928,1744670945.5488565,1744670945.5512755,0.002212047576904297,0.002418994903564453,0.004694700241088867
27,1744670945.551804,1744670945.5541337,1744670945.5541933,1744670945.556549,0.002329587936401367,0.002355813980102539,0.004745006561279297
28,1744670945.5568848,1744670945.5591805,1744670945.5592422,1744670945.561634,0.0022957324981689453,0.002391815185546875,0.004749298095703125
29,1744670945.5619724,1744670945.5644677,1744670945.5645273,1744670945.5669887,0.002495288848876953,0.0024614334106445312,0.005016326904296875
