request_id,before_calling_prefix_match_timestamp,received_by_prefix_match_timestamp,completed_prefix_match_timestamp,after_calling_prefix_match_timestamp,before_calling_insert_timestamp,after_calling_insert_timestamp,received_by_insert_timestamp,completed_insert_timestamp,prefix_match_client_to_server_duration,prefix_match_processing_duration,prefix_match_server_to_client_duration,prefix_match_total_duration,insert_client_to_server_duration,insert_processing_duration,insert_server_to_client_duration,insert_total_duration,total_request_time_duration
1,1744654748.774164,1744654748.7845314,1744654748.7846196,1744654748.7854311,1744654748.7855139,1744654748.7858257,1744654748.7878008,1744654748.7878952,0.010367393493652344,8.821487426757812e-05,0.0008115768432617188,0.01126718521118164,0.0022869110107421875,9.441375732421875e-05,-0.0020694732666015625,0.00031185150146484375,0.011661767959594727
2,1744654753.0734093,1744654753.0760841,1744654753.0765202,1744654753.0780163,1744654753.0781033,1744654753.0812333,1744654753.0873952,1744654753.0877826,0.0026748180389404297,0.0004360675811767578,0.0014960765838623047,0.004606962203979492,0.009291887283325195,0.00038743019104003906,-0.006549358367919922,0.0031299591064453125,0.007823944091796875
3,1744654753.090136,1744654753.093979,1744654753.0940523,1744654753.3230298,1744654753.32486,1744654753.3291647,1744654753.335841,1744654753.3359156,0.0038428306579589844,7.343292236328125e-05,0.22897744178771973,0.232893705368042,0.010980844497680664,7.462501525878906e-05,-0.006750822067260742,0.004304647445678711,0.2390286922454834
5,1744654753.3062365,1744654753.3309584,1744654753.3310409,1744654753.3499992,1744654753.3505824,1744654753.3521256,1744654753.3589754,1744654753.359087,0.024721860885620117,8.249282836914062e-05,0.018958330154418945,0.0437626838684082,0.008393049240112305,0.00011157989501953125,-0.006961345672607422,0.001543283462524414,0.04588913917541504
7,1744654753.3415809,1744654753.3500147,1744654753.350181,1744654753.3672507,1744654753.3689888,1744654753.37148,1744654753.377425,1744654753.3779032,0.008433818817138672,0.00016641616821289062,0.017069578170776367,0.02566981315612793,0.008436203002929688,0.0004782676696777344,-0.006423234939575195,0.0024912357330322266,0.029899120330810547
8,1744654753.3627992,1744654753.376356,1744654753.3764699,1744654753.4049304,1744654753.4052484,1744654753.406486,1744654753.4564824,1744654753.4593127,0.013556718826293945,0.00011396408081054688,0.02846050262451172,0.04213118553161621,0.05123400688171387,0.0028302669525146484,-0.052826642990112305,0.001237630844116211,0.043686866760253906
10,1744654753.3876605,1744654753.4113064,1744654753.4113843,1744654753.4315426,1744654753.4320905,1744654753.435475,1744654753.4749784,1744654753.4771168,0.023645877838134766,7.796287536621094e-05,0.02015829086303711,0.043882131576538086,0.04288792610168457,0.002138376235961914,-0.0416417121887207,0.0033845901489257812,0.04781460762023926
11,1744654753.4032342,1744654753.4191678,1744654753.4197102,1744654753.451783,1744654753.4518466,1744654753.452073,1744654753.4946804,1744654753.4952147,0.015933513641357422,0.0005424022674560547,0.03207278251647949,0.04854869842529297,0.042833805084228516,0.0005342960357666016,-0.04314160346984863,0.00022649765014648438,0.04883885383605957
12,1744654753.409148,1744654753.461783,1744654753.4623265,1744654753.4703436,1744654753.4704268,1744654753.4706833,1744654753.5057986,1744654753.50637,0.05263495445251465,0.0005435943603515625,0.00801706314086914,0.06119561195373535,0.03537178039550781,0.0005714893341064453,-0.03568673133850098,0.00025653839111328125,0.06153535842895508
13,1744654753.4225929,1744654753.470947,1744654753.4713435,1744654753.4767776,1744654753.4768457,1744654753.4772527,1744654753.511285,1744654753.511707,0.048354148864746094,0.00039649009704589844,0.0054340362548828125,0.054184675216674805,0.0344393253326416,0.0004220008850097656,-0.034454345703125,0.0004069805145263672,0.05465984344482422
14,1744654753.4262083,1744654753.4642947,1744654753.4654558,1744654753.4712853,1744654753.4713495,1744654753.4715502,1744654753.5089731,1744654753.5094428,0.0380864143371582,0.0011610984802246094,0.005829572677612305,0.04507708549499512,0.03762364387512207,0.0004696846008300781,-0.03789258003234863,0.00020074844360351562,0.04534196853637695
15,1744654753.4369278,1744654753.4781141,1744654753.4785748,1744654753.4864705,1744654753.4865422,1744654753.4869745,1744654753.5244482,1744654753.5254016,0.04118633270263672,0.00046062469482421875,0.007895708084106445,0.04954266548156738,0.03790593147277832,0.0009534358978271484,-0.038427114486694336,0.0004322528839111328,0.050046682357788086
16,1744654753.4463928,1744654753.472728,1744654753.4740763,1744654753.4800391,1744654753.4801059,1744654753.4803202,1744654753.521897,1744654753.5228705,0.02633523941040039,0.001348257064819336,0.005962848663330078,0.033646345138549805,0.04179120063781738,0.0009734630584716797,-0.04255032539367676,0.0002143383026123047,0.03392744064331055
17,1744654753.449853,1744654753.4887383,1744654753.4901671,1744654753.4974482,1744654753.497625,1744654753.498041,1744654753.536572,1744654753.5373895,0.03888535499572754,0.001428842544555664,0.007281064987182617,0.04759526252746582,0.03894686698913574,0.0008175373077392578,-0.039348602294921875,0.000415802001953125,0.048187971115112305
18,1744654753.4510581,1744654753.493441,1744654753.494365,1744654753.4985197,1744654753.4988124,1744654753.499089,1744654753.5382679,1744654753.538829,0.04238295555114746,0.0009238719940185547,0.004154682159423828,0.047461509704589844,0.039455413818359375,0.0005612373352050781,-0.03974008560180664,0.0002765655517578125,0.048030853271484375
19,1744654753.4521632,1744654753.504003,1744654753.5047073,1744654753.5145109,1744654753.5145853,1744654753.5149481,1744654753.5507853,1744654753.5525362,0.05183982849121094,0.0007042884826660156,0.009803533554077148,0.0623476505279541,0.03620004653930664,0.001750946044921875,-0.03758811950683594,0.0003628730773925781,0.06278491020202637
20,1744654753.470793,1744654753.480394,1744654753.4810324,1744654753.4886258,1744654753.4886985,1744654753.489002,1744654753.525691,1744654753.5257928,0.00960087776184082,0.0006384849548339844,0.007593393325805664,0.01783275604248047,0.036992549896240234,0.00010180473327636719,-0.03679084777832031,0.00030350685119628906,0.018208980560302734
21,1744654753.4716406,1744654753.510121,1744654753.510656,1744654753.5206463,1744654753.5207372,1744654753.5209525,1744654753.5557919,1744654753.5563574,0.038480520248413086,0.0005350112915039062,0.009990215301513672,0.049005746841430664,0.035054683685302734,0.0005655288696289062,-0.03540492057800293,0.00021529197692871094,0.04931187629699707
22,1744654753.4773507,1744654753.520709,1744654753.5209913,1744654753.5278482,1744654753.5279484,1744654753.5286279,1744654753.5663707,1744654753.5665853,0.04335832595825195,0.00028228759765625,0.0068569183349609375,0.05049753189086914,0.038422346115112305,0.00021457672119140625,-0.03795742988586426,0.0006794929504394531,0.05127716064453125
23,1744654753.4804258,1744654753.49567,1744654753.4958658,1744654753.5080214,1744654753.5083497,1744654753.5086763,1744654753.5470428,1744654753.548132,0.015244245529174805,0.0001957416534423828,0.012155532836914062,0.02759552001953125,0.03869318962097168,0.0010890960693359375,-0.03945565223693848,0.0003266334533691406,0.028250455856323242
24,1744654753.4870718,1744654753.5127184,1744654753.5129166,1744654753.5216918,1744654753.521762,1744654753.522038,1744654753.5577638,1744654753.5582752,0.025646686553955078,0.00019812583923339844,0.00877523422241211,0.034620046615600586,0.03600192070007324,0.0005114078521728516,-0.036237239837646484,0.0002760887145996094,0.034966230392456055
25,1744654753.4890978,1744654753.5327146,1744654753.5348823,1744654753.5413926,1744654753.5415583,1744654753.5419428,1744654753.5776007,1744654753.5777028,0.04361677169799805,0.0021677017211914062,0.006510257720947266,0.05229473114013672,0.03604245185852051,0.00010204315185546875,-0.035759925842285156,0.0003845691680908203,0.052845001220703125
26,1744654753.498138,1744654753.5259979,1744654753.5260825,1744654753.5335991,1744654753.5336742,1744654753.5338898,1744654753.5684247,1744654753.5689137,0.027859926223754883,8.463859558105469e-05,0.007516622543334961,0.0354611873626709,0.03475046157836914,0.0004889965057373047,-0.03502392768859863,0.0002155303955078125,0.0357518196105957
27,1744654753.499182,1744654753.5398228,1744654753.5404172,1744654753.5436323,1744654753.5437279,1744654753.5444407,1744654753.5783277,1744654753.578893,0.040640830993652344,0.0005943775177001953,0.0032150745391845703,0.04445028305053711,0.03459978103637695,0.0005652904510498047,-0.034452199935913086,0.0007128715515136719,0.04525876045227051
28,1744654753.5087934,1744654753.5418575,1744654753.5425532,1744654753.5496078,1744654753.5496702,1744654753.5499816,1744654753.5793872,1744654753.5800102,0.03306412696838379,0.0006957054138183594,0.007054567337036133,0.04081439971923828,0.029716968536376953,0.0006229877471923828,-0.030028581619262695,0.0003113746643066406,0.04118824005126953
29,1744654753.5150516,1744654753.5543642,1744654753.5548542,1744654753.5580037,1744654753.5580795,1744654753.5583014,1744654753.5842805,1744654753.5846057,0.03931260108947754,0.0004899501800537109,0.0031495094299316406,0.04295206069946289,0.02620100975036621,0.00032520294189453125,-0.026304244995117188,0.0002219676971435547,0.04324984550476074
